OBJECTID,ADDRTYPE,LOCATION,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,HITPARKEDCAR
218389,Block,S MICHIGAN ST BETWEEN 7TH AVE S AND CORSON AVE S,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2020/08/21 00:00:00+00,N,Raining,Wet,Daylight,NA,N
218390,Block,WEST MARGINAL WAY SW BETWEEN SW FRONT ST AND HIGHLAND PARK WAY SW,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/09/05 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218391,Intersection,4TH AVE S AND S JACKSON ST,2,Injury Collision,Angles,5,0,0,2,1,0,0,2020/09/15 00:00:00+00,N,Fog/Smog/Smoke,Dry,Dusk,NA,N
218393,Block,BIGELOW AVE N BETWEEN BLAINE ST AND NEWTON ST,0,Unknown,NA,1,0,0,0,0,0,0,2020/08/26 00:00:00+00,NA,NA,NA,NA,NA,Y
218394,Block,SPRING ST BETWEEN 4TH AVE AND 5TH AVE,1,Property Damage Only Collision,Sideswipe,6,0,0,2,0,0,0,2020/08/23 00:00:00+00,N,Clear,Dry,Dark - Street Lights On,NA,N
218395,Intersection,BOREN AVE AND UNION ST,2,Injury Collision,Rear Ended,3,0,0,2,1,0,0,2020/08/01 00:00:00+00,N,Clear,Dry,Dark - Street Lights On,NA,N
218397,Block,E OLIVE WAY BETWEEN E HOWELL ST AND E DENNY WAY,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020/06/25 00:00:00+00,N,Clear,Dry,Unknown,NA,N
218399,Block,RAINIER AVE S BETWEEN 75TH AVE S AND CITY LIMITS,2,Injury Collision,Other,1,0,0,1,1,0,0,2020/07/12 00:00:00+00,N,Overcast,Dry,Dawn,NA,N
218400,Block,S ORCAS ST BETWEEN JUNEAU TER S AND RENTON AVE S,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020/07/08 00:00:00+00,N,Overcast,Dry,Dawn,NA,Y
218401,Intersection,5TH AVE AND BLANCHARD ST,2,Injury Collision,Left Turn,2,0,0,2,1,0,0,2020/08/21 00:00:00+00,N,Overcast,Dry,Daylight,NA,N
218402,Block,N 107TH ST BETWEEN MERIDIAN AVE N AND BAGLEY AVE N,1,Property Damage Only Collision,NA,1,0,0,0,0,0,0,2020/07/29 00:00:00+00,NA,NA,NA,NA,NA,Y
218403,NA,NA,0,Unknown,NA,0,0,0,0,0,0,0,2020/07/08 00:00:00+00,NA,NA,NA,NA,NA,N
218404,Block,6TH AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,1,Property Damage Only Collision,Other,2,0,0,1,0,0,0,2020/10/11 00:00:00+00,N,Overcast,Dry,Dark - Street Lights On,NA,N
218405,Intersection,8TH AVE NW AND NW 80TH ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2020/09/02 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218406,Intersection,8TH AVE NW AND NW 85TH ST,2,Injury Collision,Sideswipe,5,0,0,4,1,0,0,2020/07/04 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218407,Intersection,ROOSEVELT WAY NE AND NE 42ND S ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020/09/03 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218408,Block,JAMES ST BETWEEN 9TH AVE AND TERRY AVE,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020/05/22 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218410,Block,20TH AVE S BETWEEN S NYE PL AND S CHARLES ST,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2020/07/12 00:00:00+00,N,Clear,Dry,Dark - Street Lights On,NA,Y
218411,Block,35TH AVE NE BETWEEN NE 55TH ST AND NE 57TH ST,2,Injury Collision,Angles,3,0,0,2,1,0,0,2020/08/07 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218412,Block,NE 55TH ST BETWEEN SAND POINT WAY NE AND 54TH AVE NE,1,Property Damage Only Collision,Parked Car,3,0,0,2,0,0,0,2020/01/30 00:00:00+00,N,Clear,Wet,Dark - Street Lights On,NA,Y
218413,Intersection,51ST AVE S AND S RYAN WAY,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020/09/28 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218415,Block,EAST MARGINAL WAY S BETWEEN S FIDALGO ST AND 1ST AVE S,1,Property Damage Only Collision,Left Turn,5,0,0,2,0,0,0,2020/08/20 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218416,Intersection,AURORA AVE N AND N 135TH ST,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2020/05/29 00:00:00+00,N,Clear,Dry,Dark - Street Lights On,NA,N
218417,Block,E MCGILVRA ST BETWEEN 42ND AVE E AND 43RD AVE E,1,Property Damage Only Collision,NA,1,0,0,0,0,0,0,2020/08/02 00:00:00+00,NA,NA,NA,NA,NA,Y
218418,Intersection,RAINIER AVE S AND S HOLDEN ST,2,Injury Collision,Angles,3,0,0,2,1,0,0,2020/06/10 00:00:00+00,N,Overcast,Wet,Daylight,NA,N
218419,Intersection,4TH AVE S AND S JACKSON ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020/07/15 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218420,Block,N 96TH ST BETWEEN LINDEN AVE N AND AURORA N AVE N,0,Unknown,NA,0,0,0,0,0,0,0,2020/10/06 00:00:00+00,NA,NA,NA,NA,NA,Y
218421,Block,JOHN ST BETWEEN 1ST AVE N AND WARREN AVE N,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020/09/10 00:00:00+00,N,Fog/Smog/Smoke,Dry,Daylight,NA,N
218422,Block,RAINIER AVE S BETWEEN S ADAMS ST AND S GENESEE N ST,1,Property Damage Only Collision,NA,2,0,0,0,0,0,0,2020/10/13 00:00:00+00,NA,NA,NA,NA,NA,N
218423,Block,DEXTER AVE N BETWEEN WHEELER ST AND HALLADAY ST,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020/07/19 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218424,Intersection,1ST AVE AND MARION ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020/10/12 00:00:00+00,N,Overcast,Wet,Daylight,NA,N
218425,Block,8TH AVE NE BETWEEN WEEDIN PL NE AND NE 67TH ST,0,Unknown,NA,0,0,0,0,0,0,0,2020/08/06 00:00:00+00,NA,NA,NA,NA,NA,Y
218426,Block,AURORA AVE N BETWEEN N 130TH ST AND N 135TH ST,2,Injury Collision,Rear Ended,2,0,0,2,2,0,0,2020/06/07 00:00:00+00,N,Clear,Wet,Daylight,NA,N
218427,Block,9TH AVE BETWEEN ALDER ST AND JEFFERSON ST,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020/07/29 00:00:00+00,N,Clear,Dry,Dark - Street Lights On,NA,N
218428,Intersection,AURORA AVE N AND N 117TH PL,1,Property Damage Only Collision,Left Turn,3,0,0,2,0,0,0,2020/08/24 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218429,Intersection,2ND AVE SW AND HIGHLAND PARK WAY SW,1,Property Damage Only Collision,Rear Ended,6,0,0,4,0,0,0,2020/07/29 00:00:00+00,N,Clear,Dry,Daylight,NA,N
218430,Intersection,MALDEN AVE E AND E HARRISON ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020/01/17 00:00:00+00,N,Overcast,Wet,Daylight,NA,N
218431,Block,RENTON AVE S BETWEEN S BARTON ST AND S FLETCHER ST,1,Property Damage Only Collision,Parked Car,4,0,0,4,0,0,0,2020/08/21 00:00:00+00,N,Other,Unknown,Dark - Street Lights On,NA,Y
